code,name,service_Charge,purchase_amount,recent1Month,recent3Month,recent6Month,recent1Year,recent3Year,from_Build,type,fund_scale,establishment_date,company
000001,华夏成长混合,0.15%,100元起购,9.55%,19.59%,17.18%,27.42%,28.84%,610.52%,混合型,45.98亿元（2019-12-31）,2001-12-18,华夏基金
000045,工银产业债债券A,0.08%,100元起购,1.64%,3.55%,4.27%,8.85%,21.55%,67.20%,债券型,31.04亿元（2019-12-31）,2013-03-29,工银瑞信基金
000038,广发理财7天债券B,0.00%,5000000元起购,0.24%,0.73%,1.48%,3.06%,12.33%,30.95%,理财型,151.53亿元（2019-12-31）,2013-06-20,广发基金
000043,嘉实美国成长股票人民币,0.15%,100元起购,4.06%,10.58%,13.11%,29.44%,55.64%,133.00%,QDII,5.30亿元（2019-12-31）,2013-06-14,嘉实基金
000041,华夏全球股票(QDII),0.16%,100元起购,0.92%,8.23%,6.23%,13.51%,28.93%,9.20%,QDII,38.92亿元（2019-12-31）,2007-10-09,华夏基金
000046,工银产业债债券B,0.00%,100元起购,1.60%,3.41%,4.00%,8.33%,20.31%,62.50%,债券型,1.74亿元（2019-12-31）,2013-03-29,工银瑞信基金
000044,嘉实美国成长股票美元现汇,暂停申购,暂停申购,1.66%,10.61%,13.40%,23.73%,51.65%,102.30%,QDII,0.52亿元（2019-12-31）,2013-06-14,嘉实基金
000042,中证财通可持续发展100指数A,0.12%,100元起购,3.47%,6.29%,5.91%,17.12%,26.63%,90.20%,股票指数,5.48亿元（2019-12-31）,2013-03-22,财通基金
000039,农银高增长混合,0.15%,100元起购,14.66%,36.81%,48.86%,66.41%,47.06%,170.36%,混合型,3.58亿元（2019-12-31）,2013-03-26,农银汇理基金
000033,易方达信用债债券C,0.00%,10元起购,0.90%,1.73%,2.19%,4.36%,14.76%,38.17%,债券型,7.65亿元（2019-12-31）,2013-04-24,易方达基金
000037,广发理财7天债券A,0.00%,1000元起购,0.22%,0.66%,1.33%,2.76%,11.35%,29.15%,理财型,1.91亿元（2019-12-31）,2013-06-20,广发基金
000031,华夏复兴混合,0.15%,100元起购,15.01%,45.17%,64.34%,87.14%,48.06%,175.10%,混合型,19.77亿元（2019-12-31）,2007-09-10,华夏基金
000030,长城核心优选混合,0.15%,100元起购,2.57%,9.02%,10.32%,17.67%,22.10%,127.86%,混合型,2.89亿元（2019-12-31）,2013-04-18,长城基金
000029,富国宏观策略灵活配置混合,0.15%,100元起购,15.24%,31.04%,37.75%,58.99%,90.44%,203.26%,混合型,3.62亿元（2019-12-31）,2013-04-12,富国基金
000028,华富安鑫债券,0.08%,100元起购,4.09%,7.78%,9.08%,11.56%,14.87%,56.72%,债券型,0.60亿元（2019-12-31）,2013-04-24,华富基金
000189,易方达丰华债券A,0.08%,100元起购,5.56%,11.68%,13.57%,17.77%,26.33%,28.86%,债券型,1.71亿元（2019-12-31）,2016-01-13,易方达基金
000527,南方新优享灵活配置混合A,0.15%,10元起购,12.82%,24.20%,32.84%,52.72%,72.87%,251.10%,混合型,24.13亿元（2019-12-31）,2014-02-26,南方基金
000614,华安德国30(DAX)联接,0.12%,100元起购,-0.41%,0.25%,9.85%,13.37%,8.96%,20.40%,QDII-指数,3.98亿元（2019-12-31）,2014-08-12,华安基金
