position_name,company,address,salary,time
Python测试开发工程师（外派歌华大厦）,Symbio,北京-朝阳区,1-1.5万/月,12-21
高级python开发工程师,北京中体骏彩信息技术有限公司,北京-朝阳区,1.5-2万/月,12-21
Python高级开发工程师,北京棣南新宇科技有限公司,北京-海淀区,1.5-2万/月,12-21
运维开发工程师（python）,北京慧铭软件有限公司,北京-海淀区,0.8-1万/月,12-21
Python高级开发工程师,北京中经惠众科技有限公司,北京-西城区,1.8-3.6万/月,12-21
后端高级工程师（Python）,中建材信息技术股份有限公司,北京-海淀区,1.5-2.5万/月,12-21
python工程师,国和瑞斯（北京）科技有限公司,北京-海淀区,1-1.5万/月,12-21
高级Python开发工程师,奇虎360科技有限公司,北京,,12-21
"Software Engineer  Python, Java, Cloud",贵州华芯通半导体技术有限公司,北京,1.5-2万/月,12-21
python研发工程师(J11045),北京传智播客教育科技有限公司,北京-昌平区,1-2万/月,12-21
python助教,传智播客教育集团修正分校,北京-昌平区,10-15万/年,12-21
Python开发工程师(面向2018届毕业生),江森自控（中国）投资有限公司,北京,0.8-1万/月,12-21
Python爬虫开发工程师,北京敏捷艾科数据技术有限公司,北京-朝阳区,0.6-1万/月,12-21
Python开发工程师,易视腾科技股份有限公司,北京,1-2万/月,12-21
Python开发工程师,北京呈诺医学科技有限公司,北京-大兴区,1.5-3万/月,12-21
Python开发工程师,北京朗镜科技有限责任公司,北京-朝阳区,2-2.5万/月,12-21
python 工程师 （爬虫方向）,北京神州新桥科技有限公司,北京-海淀区,1-1.5万/月,12-21
Python开发工程师,北京万维盈创科技发展有限公司,北京-昌平区,0.8-1.5万/月,12-21
Python系统运维开发工程师,云星数据（深圳）有限公司,北京-朝阳区,2-3万/月,12-21
Python开发工程师,彩讯科技股份有限公司,北京-东城区,0.8-1.5万/月,12-21
Python高级开发工程师,北京量子保科技有限公司,北京-海淀区,2.5-3万/月,12-21
python web后台开发,北京阳阳丽康商贸有限公司,北京-朝阳区,1.5-2万/月,12-21
高级Python开发工程师,北京国双科技有限公司,北京,1.5-2万/月,12-21
Python开发工程师,普天信息技术有限公司,北京,0.8-1.5万/月,12-21
Python后端高级开发工程师,武汉皮皮外语网络科技有限公司,北京-海淀区,1.5-2.5万/月,12-21
Python开发工程师,广州嘉为科技有限公司,北京-海淀区,0.6-1.5万/月,12-21
Python开发工程师,北京缔联科技有限公司,北京-海淀区,1-1.5万/月,12-21
Python工程师,北京联龙博通电子商务技术有限公司,北京-丰台区,1-1.5万/月,12-21
python开发工程师（机器学习）,博彦科技股份有限公司,北京-海淀区,1.2-1.5万/月,12-21
python后端开发工程师,北京心知科技有限公司,北京-朝阳区,2-3万/月,12-21
高级Python后端工程师,达观数据,北京,1.8-3.6万/月,12-21
Python(外派中国移动),南京绛门信息科技股份有限公司,北京-朝阳区,0.8-1.6万/月,12-21
Python讲师,北京书和翰林教育科技有限公司,北京-延庆区,0.8-2万/月,12-21
Python高级开发工程师,南京高泰科技有限公司,北京-石景山区,2-2.5万/月,12-21
数据平台开发工程师（Python方向）,DaDa,北京-朝阳区,1.5-3万/月,12-21
Python开发工程师,北京斯普信信息技术有限公司,北京,1-1.5万/月,12-21
Python高级研发工程师,北京好巧国际旅行社有限公司,北京,2-3.5万/月,12-21
Python开发工程师,北京先进数通信息技术股份公司,北京,1-1.8万/月,12-21
Python开发工程师,北京直真科技股份有限公司,北京-朝阳区,2-2.5万/月,12-21
技术支持工程师（Python软件运维）,北京普瑞亿科科技有限公司,北京-海淀区,6-8千/月,12-21
python爬虫工程师,北京法宣在线科技有限公司,北京-海淀区,1.5-2万/月,12-21
Python工程师,中讯志远（武汉）科技有限公司,北京-朝阳区,1-1.5万/月,12-21
python开发工程师,杭州迪普科技股份有限公司,北京-海淀区,10-20万/年,12-21
